,Unnamed: 0,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,canceled_rate,total_stay,IsCanceled
90080,90085,City Hotel,0,6,2016,May,23,31,0,2,1,0.0,0,BB,ESP,Corporate,Corporate,0,0,0,0,No Deposit,0.0,91.0,0,Transient,95.0,0,0,Check-Out,2016-06-02,0.47719612611459533,2,0
90081,90086,City Hotel,0,11,2017,May,21,23,0,2,1,0.0,0,BB,ESP,Corporate,Corporate,1,0,1,1,No Deposit,0.0,91.0,0,Transient,126.0,0,0,Check-Out,2017-05-25,0.47719612611459533,2,0
90095,90100,City Hotel,0,17,2016,May,23,31,0,2,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,166.0,1,2,Check-Out,2016-06-02,0.2209284392350401,2,0
90124,90129,City Hotel,0,43,2016,May,23,31,0,3,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,115.5,0,0,Check-Out,2016-06-03,0.47719612611459533,3,0
90218,90223,City Hotel,0,16,2016,May,23,31,0,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,134.7,1,0,Check-Out,2016-06-04,0.47719612611459533,4,0
90312,90317,City Hotel,0,50,2016,June,23,3,0,2,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,159.3,0,2,Check-Out,2016-06-05,0.2209284392350401,2,0
90313,90318,City Hotel,0,49,2016,June,23,3,0,2,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,2,No Deposit,85.0,0.0,0,Transient,80.75,0,0,Check-Out,2016-06-05,0.47719612611459533,2,0
90325,90330,City Hotel,0,70,2016,June,23,3,0,2,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,20.0,0.0,0,Transient-Party,100.0,0,0,Check-Out,2016-06-05,0.47719612611459533,2,0
90389,90394,City Hotel,0,17,2016,June,23,1,1,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,144.84,1,1,Check-Out,2016-06-06,0.22017879180086086,5,0
90402,90407,City Hotel,0,83,2016,June,23,3,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,9.0,0.0,0,Transient,123.9,0,0,Check-Out,2016-06-06,0.47719612611459533,3,0
90410,90415,City Hotel,0,83,2016,June,23,3,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,9.0,0.0,0,Transient,123.9,0,2,Check-Out,2016-06-06,0.2209284392350401,3,0
90469,90474,City Hotel,0,119,2016,June,24,7,0,1,1,0.0,0,BB,ESP,Offline TA/TO,Corporate,0,0,0,1,No Deposit,191.0,0.0,0,Transient-Party,110.0,0,0,Check-Out,2016-06-08,0.47719612611459533,1,0
90479,90484,City Hotel,0,119,2016,June,24,7,0,1,1,0.0,0,BB,ESP,Offline TA/TO,Corporate,0,0,0,0,No Deposit,191.0,0.0,0,Transient-Party,110.0,0,0,Check-Out,2016-06-08,0.47719612611459533,1,0
90496,90501,City Hotel,0,1,2016,June,24,7,0,1,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,124.0,0,0,Check-Out,2016-06-08,0.47719612611459533,1,0
90524,90529,City Hotel,0,118,2016,June,24,6,1,1,1,0.0,0,BB,ESP,Offline TA/TO,Corporate,0,0,0,1,No Deposit,191.0,0.0,0,Transient-Party,110.0,0,0,Check-Out,2016-06-08,0.47719612611459533,2,0
90527,90532,City Hotel,0,118,2016,June,24,6,1,1,1,0.0,0,BB,ESP,Offline TA/TO,Corporate,0,0,0,1,No Deposit,191.0,0.0,0,Transient-Party,110.0,0,0,Check-Out,2016-06-08,0.47719612611459533,2,0
90581,90586,City Hotel,0,0,2016,June,24,8,0,1,1,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,0.0,0.0,0,Transient,92.65,0,0,Check-Out,2016-06-09,0.47719612611459533,1,0
90600,90605,City Hotel,0,0,2016,June,24,8,0,1,1,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,0.0,0.0,0,Transient,92.35,0,1,Check-Out,2016-06-09,0.22017879180086086,1,0
90605,90610,City Hotel,0,13,2016,June,24,7,0,2,1,0.0,0,BB,ESP,Corporate,Corporate,0,0,0,0,No Deposit,0.0,174.0,0,Transient,110.0,0,0,Check-Out,2016-06-09,0.47719612611459533,2,0
90606,90611,City Hotel,0,32,2016,October,42,10,1,2,1,0.0,0,BB,ESP,Corporate,Corporate,1,0,1,0,No Deposit,0.0,174.0,0,Transient,95.0,0,0,Check-Out,2016-10-13,0.47719612611459533,3,0
90607,90612,City Hotel,0,8,2017,March,12,22,0,1,1,0.0,0,BB,ESP,Corporate,Corporate,1,0,2,0,No Deposit,0.0,174.0,0,Transient,95.0,0,0,Check-Out,2017-03-23,0.47719612611459533,1,0
90608,90613,City Hotel,0,40,2017,May,20,15,1,1,1,0.0,0,BB,ESP,Corporate,Corporate,1,0,3,0,No Deposit,0.0,174.0,0,Transient,95.0,0,1,Check-Out,2017-05-17,0.22017879180086086,2,0
90612,90617,City Hotel,0,0,2016,June,24,8,0,1,1,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,0.0,0.0,0,Transient,92.35,0,1,Check-Out,2016-06-09,0.22017879180086086,1,0
90614,90619,City Hotel,0,118,2016,June,24,6,1,2,1,0.0,0,BB,ESP,Offline TA/TO,Corporate,0,0,0,0,No Deposit,191.0,0.0,0,Transient-Party,119.0,0,0,Check-Out,2016-06-09,0.47719612611459533,3,0
90619,90624,City Hotel,0,2,2016,June,24,8,0,1,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,7.0,0.0,0,Transient,84.85,0,1,Check-Out,2016-06-09,0.22017879180086086,1,0
90625,90630,City Hotel,0,14,2016,June,24,8,0,1,1,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,109.0,0,0,Check-Out,2016-06-09,0.47719612611459533,1,0
90629,90634,City Hotel,0,1,2016,June,24,7,0,2,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,115.0,0,1,Check-Out,2016-06-09,0.22017879180086086,2,0
90630,90635,City Hotel,0,12,2016,June,24,8,0,1,1,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,109.0,0,1,Check-Out,2016-06-09,0.22017879180086086,1,0
90647,90652,City Hotel,0,118,2016,June,24,6,1,2,1,0.0,0,BB,ESP,Offline TA/TO,Corporate,0,0,0,0,No Deposit,191.0,0.0,0,Transient-Party,110.0,0,0,Check-Out,2016-06-09,0.47719612611459533,3,0
90689,90694,City Hotel,0,3,2016,June,24,8,0,2,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,118.0,0,1,Check-Out,2016-06-10,0.22017879180086086,2,0
90698,90703,City Hotel,0,50,2016,June,24,7,0,3,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,147.3,0,2,Check-Out,2016-06-10,0.2209284392350401,3,0
90699,90704,City Hotel,0,118,2016,June,24,6,1,3,1,0.0,0,BB,ESP,Offline TA/TO,Corporate,0,0,0,1,No Deposit,191.0,0.0,0,Transient-Party,110.0,0,0,Check-Out,2016-06-10,0.47719612611459533,4,0
90704,90709,City Hotel,0,21,2016,June,24,9,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,102.85,0,2,Check-Out,2016-06-10,0.2209284392350401,1,0
90719,90724,City Hotel,0,118,2016,June,24,6,1,3,1,0.0,0,BB,ESP,Offline TA/TO,Corporate,0,0,0,1,No Deposit,191.0,0.0,0,Transient-Party,110.0,0,0,Check-Out,2016-06-10,0.47719612611459533,4,0
90742,90747,City Hotel,0,58,2016,June,24,10,0,1,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,5,No Deposit,9.0,0.0,0,Transient,116.1,0,1,Check-Out,2016-06-11,0.22017879180086086,1,0
90827,90832,City Hotel,0,107,2016,June,24,10,0,2,1,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,1,No Deposit,187.0,0.0,0,Transient-Party,120.0,0,0,Check-Out,2016-06-12,0.47719612611459533,2,0
90842,90847,City Hotel,0,58,2016,June,24,10,1,2,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,4,No Deposit,9.0,0.0,0,Transient,159.3,0,2,Check-Out,2016-06-13,0.2209284392350401,3,0
90843,90848,City Hotel,0,83,2016,June,24,10,1,2,3,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,210.6,0,2,Check-Out,2016-06-13,0.2209284392350401,3,0
90844,90849,City Hotel,0,58,2016,June,24,10,1,2,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,2,No Deposit,9.0,0.0,0,Transient,158.53,0,2,Check-Out,2016-06-13,0.2209284392350401,3,0
90850,90855,City Hotel,0,58,2016,June,24,10,1,2,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,2,No Deposit,9.0,0.0,0,Transient,116.1,0,1,Check-Out,2016-06-13,0.22017879180086086,3,0
90891,90896,City Hotel,0,58,2016,June,24,10,1,2,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,159.3,0,2,Check-Out,2016-06-13,0.2209284392350401,3,0
90940,90945,City Hotel,0,147,2016,June,24,11,2,1,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,14.0,0.0,0,Transient-Party,102.3,0,0,Check-Out,2016-06-14,0.47719612611459533,3,0
90948,90953,City Hotel,0,4,2016,June,25,13,1,0,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,99.0,0,2,Check-Out,2016-06-14,0.2209284392350401,1,0
90962,90967,City Hotel,0,9,2016,June,25,13,1,0,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,89.0,0,0,Check-Out,2016-06-14,0.47719612611459533,1,0
90975,90980,City Hotel,0,14,2016,June,25,13,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,101.0,0,1,Check-Out,2016-06-15,0.22017879180086086,2,0
90977,90982,City Hotel,0,15,2016,June,25,14,0,1,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,95.0,0,1,Check-Out,2016-06-15,0.22017879180086086,1,0
90989,90994,City Hotel,0,0,2016,June,25,14,0,1,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,0.0,0.0,0,Transient,99.0,0,0,Check-Out,2016-06-15,0.47719612611459533,1,0
90998,91003,City Hotel,0,24,2016,June,25,13,1,1,1,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,99.0,0,2,Check-Out,2016-06-15,0.2209284392350401,2,0
91020,91025,City Hotel,0,21,2016,June,25,12,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,94.35,0,1,Check-Out,2016-06-15,0.22017879180086086,3,0
91041,91046,City Hotel,0,25,2016,June,25,13,1,2,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,9.0,0.0,0,Transient,142.45,1,2,Check-Out,2016-06-16,0.2209284392350401,3,0
91052,91057,City Hotel,0,1,2016,June,25,15,0,1,1,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,7.0,0.0,0,Transient,95.48,0,1,Check-Out,2016-06-16,0.22017879180086086,1,0
91053,91058,City Hotel,0,21,2016,June,25,12,2,2,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,156.5,0,1,Check-Out,2016-06-16,0.22017879180086086,4,0
91100,91105,City Hotel,0,115,2016,June,25,14,0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,135.9,1,2,Check-Out,2016-06-17,0.2209284392350401,3,0
91210,91215,City Hotel,0,0,2016,June,25,17,0,1,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,0.0,0.0,0,Transient,129.0,0,1,Check-Out,2016-06-18,0.22017879180086086,1,0
91339,91344,City Hotel,0,110,2016,June,25,13,2,5,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient-Party,150.45,0,4,Check-Out,2016-06-20,0.10588235294117647,7,0
91362,91367,City Hotel,0,110,2016,June,25,13,2,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient-Party,119.85,0,4,Check-Out,2016-06-20,0.10588235294117647,7,0
91390,91395,City Hotel,0,0,2016,June,26,20,1,0,1,0.0,0,BB,ESP,Corporate,Corporate,0,0,0,0,No Deposit,0.0,62.0,0,Transient,95.0,0,0,Check-Out,2016-06-21,0.47719612611459533,1,0
91391,91396,City Hotel,0,0,2016,October,42,10,1,0,1,0.0,0,BB,ESP,Corporate,Corporate,1,0,1,0,No Deposit,0.0,62.0,0,Transient,95.0,0,0,Check-Out,2016-10-11,0.47719612611459533,1,0
91392,91397,City Hotel,0,0,2016,November,49,28,1,1,1,0.0,0,BB,ESP,Corporate,Corporate,1,0,2,0,No Deposit,0.0,62.0,0,Transient,79.0,0,0,Check-Out,2016-11-30,0.47719612611459533,2,0
91393,91398,City Hotel,0,0,2017,January,2,9,1,1,1,0.0,0,BB,ESP,Corporate,Corporate,1,0,3,0,No Deposit,0.0,62.0,0,Transient,80.0,0,0,Check-Out,2017-01-11,0.47719612611459533,2,0
91394,91399,City Hotel,0,2,2017,February,6,6,1,0,1,0.0,0,BB,ESP,Corporate,Corporate,1,0,4,0,No Deposit,0.0,62.0,0,Transient,80.0,0,1,Check-Out,2017-02-07,0.22017879180086086,1,0
91407,91412,City Hotel,0,8,2016,June,25,18,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,156.0,0,1,Check-Out,2016-06-21,0.22017879180086086,3,0
91450,91455,City Hotel,0,131,2016,June,25,17,2,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,9.0,0.0,0,Transient,105.74,0,1,Check-Out,2016-06-22,0.22017879180086086,5,0
91457,91462,City Hotel,0,47,2016,June,26,21,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,96.3,0,1,Check-Out,2016-06-22,0.22017879180086086,1,0
91462,91467,City Hotel,0,0,2016,June,26,21,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,9.0,0.0,0,Transient,121.5,0,1,Check-Out,2016-06-22,0.22017879180086086,1,0
91466,91471,City Hotel,0,47,2016,June,26,21,0,1,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,101.7,0,1,Check-Out,2016-06-22,0.22017879180086086,1,0
91509,91514,City Hotel,0,58,2016,June,26,20,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,108.9,1,0,Check-Out,2016-06-23,0.47719612611459533,3,0
91514,91519,City Hotel,0,37,2016,June,26,20,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,108.9,0,1,Check-Out,2016-06-23,0.22017879180086086,3,0
91515,91520,City Hotel,0,1,2016,June,26,22,0,1,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,135.0,0,1,Check-Out,2016-06-23,0.22017879180086086,1,0
91518,91523,City Hotel,0,1,2016,June,26,22,0,1,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,135.0,0,1,Check-Out,2016-06-23,0.22017879180086086,1,0
91555,91560,City Hotel,0,45,2016,June,25,17,2,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,135.9,1,1,Check-Out,2016-06-23,0.22017879180086086,6,0
91582,91587,City Hotel,0,5,2016,June,26,22,0,2,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,122.0,0,1,Check-Out,2016-06-24,0.22017879180086086,2,0
91587,91592,City Hotel,0,18,2016,June,26,23,0,1,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,89.0,0,0,Check-Out,2016-06-24,0.47719612611459533,1,0
91685,91690,City Hotel,0,77,2016,June,26,19,2,3,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,153.18,0,2,Check-Out,2016-06-24,0.2209284392350401,5,0
91913,91918,City Hotel,0,190,2016,June,26,22,1,4,1,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,1,No Deposit,34.0,0.0,0,Transient-Party,95.0,0,0,Check-Out,2016-06-27,0.47719612611459533,5,0
91924,91929,City Hotel,0,5,2016,June,27,26,1,0,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,109.0,0,1,Check-Out,2016-06-27,0.22017879180086086,1,0
91939,91944,City Hotel,0,3,2016,June,27,27,1,0,1,0.0,0,SC,ESP,Offline TA/TO,GDS,0,0,0,0,No Deposit,195.0,0.0,0,Transient,124.0,0,0,Check-Out,2016-06-28,0.47719612611459533,1,0
91976,91981,City Hotel,0,3,2016,June,27,27,1,1,1,0.0,0,SC,ESP,Offline TA/TO,GDS,0,0,0,0,No Deposit,195.0,0.0,0,Transient,124.0,0,0,Check-Out,2016-06-29,0.47719612611459533,2,0
91981,91986,City Hotel,0,13,2016,June,27,28,0,1,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,119.0,0,1,Check-Out,2016-06-29,0.22017879180086086,1,0
91984,91989,City Hotel,0,33,2016,June,27,27,1,1,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,141.3,0,2,Check-Out,2016-06-29,0.2209284392350401,2,0
91999,92004,City Hotel,0,4,2016,June,27,26,2,1,3,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,14.0,0.0,0,Transient,162.88,0,2,Check-Out,2016-06-29,0.2209284392350401,3,0
92035,92040,City Hotel,0,145,2016,June,27,28,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,105.3,1,1,Check-Out,2016-06-30,0.22017879180086086,2,0
92038,92043,City Hotel,0,40,2016,June,27,27,1,2,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,183.9,0,2,Check-Out,2016-06-30,0.2209284392350401,3,0
92039,92044,City Hotel,0,119,2016,June,27,26,2,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,9.0,0.0,0,Transient-Party,83.83,0,1,Check-Out,2016-06-30,0.22017879180086086,4,0
92058,92063,City Hotel,0,1,2016,June,27,28,0,2,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,167.0,0,1,Check-Out,2016-06-30,0.22017879180086086,2,0
92067,92072,City Hotel,0,5,2016,June,27,26,2,2,2,1.0,0,HB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,9.0,0.0,0,Transient,196.0,0,2,Check-Out,2016-06-30,0.2209284392350401,4,0
92084,92089,City Hotel,0,2,2016,June,27,30,0,1,2,0.0,0,SC,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,28.0,0.0,0,Transient,75.0,0,0,Check-Out,2016-07-01,0.47719612611459533,1,0
92096,92101,City Hotel,0,7,2016,June,27,27,1,3,1,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,28.0,0.0,0,Transient,68.0,0,0,Check-Out,2016-07-01,0.47719612611459533,4,0
92104,92109,City Hotel,0,137,2016,June,27,29,0,2,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,14.0,0.0,0,Transient,103.5,1,1,Check-Out,2016-07-01,0.22017879180086086,2,0
92138,92143,City Hotel,0,125,2016,June,27,30,0,1,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,85.5,0,1,Check-Out,2016-07-01,0.22017879180086086,1,0
92142,92147,City Hotel,0,46,2016,June,27,29,0,2,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,134.1,0,1,Check-Out,2016-07-01,0.22017879180086086,2,0
92148,92153,City Hotel,0,122,2016,June,27,30,0,1,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,85.5,0,1,Check-Out,2016-07-01,0.22017879180086086,1,0
92149,92154,City Hotel,0,9,2016,June,27,29,0,2,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,14.0,0.0,0,Transient,129.2,0,0,Check-Out,2016-07-01,0.47719612611459533,2,0
92161,92166,City Hotel,0,7,2016,June,27,29,0,3,1,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,9.0,0.0,0,Transient,132.33,0,1,Check-Out,2016-07-02,0.22017879180086086,3,0
92168,92173,City Hotel,0,117,2016,June,27,28,0,4,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient-Party,97.75,0,1,Check-Out,2016-07-02,0.22017879180086086,4,0
92179,92184,City Hotel,0,124,2016,June,27,30,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,105.3,0,1,Check-Out,2016-07-02,0.22017879180086086,2,0
92226,92231,City Hotel,0,50,2016,June,27,30,0,3,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,150.3,0,2,Check-Out,2016-07-03,0.2209284392350401,3,0
92266,92271,City Hotel,0,53,2016,June,27,28,0,5,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,135.9,0,2,Check-Out,2016-07-03,0.2209284392350401,5,0
92271,92276,City Hotel,0,8,2016,June,27,30,0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,7.0,0.0,0,Transient,110.46,0,1,Check-Out,2016-07-03,0.22017879180086086,3,0
92298,92303,City Hotel,0,47,2016,July,27,2,1,1,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,150.3,0,2,Check-Out,2016-07-04,0.2209284392350401,2,0
92319,92324,City Hotel,0,86,2016,July,27,1,1,2,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,3,No Deposit,83.0,0.0,0,Transient,86.36,0,0,Check-Out,2016-07-04,0.47719612611459533,3,0
92348,92353,City Hotel,0,100,2016,July,28,3,2,0,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,146.7,0,2,Check-Out,2016-07-05,0.2209284392350401,2,0
92385,92390,City Hotel,0,6,2016,July,28,5,0,1,1,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,83.0,0.0,0,Transient,114.4,0,0,Check-Out,2016-07-06,0.47719612611459533,1,0
92395,92400,City Hotel,0,37,2016,July,27,2,2,2,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,8.0,0.0,0,Transient,146.7,0,1,Check-Out,2016-07-06,0.22017879180086086,4,0
92403,92408,City Hotel,0,8,2016,June,27,30,2,4,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,204.0,0,1,Check-Out,2016-07-06,0.22017879180086086,6,0
92436,92441,City Hotel,0,14,2016,July,28,6,0,1,1,0.0,0,BB,ESP,Corporate,Corporate,0,0,0,0,No Deposit,0.0,18.0,0,Transient,143.0,0,0,Check-Out,2016-07-07,0.47719612611459533,1,0
92451,92456,City Hotel,0,12,2016,July,28,6,0,1,1,0.0,0,BB,ESP,Corporate,Corporate,0,0,0,0,No Deposit,0.0,174.0,0,Transient,125.0,0,0,Check-Out,2016-07-07,0.47719612611459533,1,0
92460,92465,City Hotel,0,19,2016,July,28,3,2,2,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,187.0,0,2,Check-Out,2016-07-07,0.2209284392350401,4,0
92461,92466,City Hotel,0,5,2016,July,28,5,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,149.0,0,1,Check-Out,2016-07-07,0.22017879180086086,2,0
92466,92471,City Hotel,0,2,2016,July,28,6,0,1,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,14.0,0.0,0,Transient,149.0,0,0,Check-Out,2016-07-07,0.47719612611459533,1,0
92496,92501,City Hotel,0,1,2016,July,28,6,0,1,1,0.0,0,SC,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,42.0,0.0,0,Transient,106.4,0,0,Check-Out,2016-07-07,0.47719612611459533,1,0
92507,92512,City Hotel,0,93,2016,July,27,2,2,4,2,0.0,0,BB,ESP,Corporate,Corporate,0,0,0,2,No Deposit,0.0,106.0,0,Transient,84.0,0,0,Check-Out,2016-07-08,0.47719612611459533,6,0
92525,92530,City Hotel,0,19,2016,July,28,6,0,2,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,14.0,0.0,0,Transient,127.15,1,0,Check-Out,2016-07-08,0.47719612611459533,2,0
92552,92557,City Hotel,0,4,2016,July,28,6,0,2,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,139.0,0,1,Check-Out,2016-07-08,0.22017879180086086,2,0
92570,92575,City Hotel,0,88,2016,July,28,5,0,4,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,1,No Deposit,85.0,0.0,0,Transient,87.3,0,0,Check-Out,2016-07-09,0.47719612611459533,4,0
92574,92579,City Hotel,0,126,2016,July,28,3,2,4,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient,131.47,0,0,Check-Out,2016-07-09,0.47719612611459533,6,0
92580,92585,City Hotel,0,148,2016,July,27,1,2,6,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,9.0,0.0,0,Transient-Party,98.39,0,2,Check-Out,2016-07-09,0.2209284392350401,8,0
